PID,totalvolume,x,y,z
16597,1.723,302616.667,1999783.333,5356.011
16598,1.714,302683.333,1999783.333,5355.678
16838,1.671,302816.667,1999783.333,5355.004
16839,1.622,302883.333,1999783.333,5354.668
17074,1.477,303016.667,1999783.333,5354.001
17075,1.394,303083.333,1999783.333,5353.669
17303,1.223,303216.667,1999783.333,5353.006
17304,1.138,303283.333,1999783.333,5352.677
17523,0.983,303416.667,1999783.333,5352.015
17524,0.921,303483.333,1999783.333,5351.683
17737,0.864,303616.667,1999783.333,5351.014
17738,0.877,303683.333,1999783.333,5350.675
17938,0.962,303816.667,1999783.333,5349.975
17939,1.032,303883.333,1999783.333,5349.664
18133,1.181,304016.667,1999783.333,5348.965
18134,1.272,304083.333,1999783.333,5348.621
18318,1.487,304216.667,1999783.333,5347.932
18319,1.609,304283.333,1999783.333,5347.587
18489,1.881,304416.667,1999783.333,5346.9
18490,2.023,304483.333,1999783.333,5346.556
18645,2.297,304616.667,1999783.333,5345.872
18646,2.423,304683.333,1999783.333,5345.529
18787,2.652,304816.667,1999783.333,5344.851
18788,2.754,304883.333,1999783.333,5344.512
18920,2.963,305016.667,1999783.333,5343.865
18921,3.066,305083.333,1999783.333,5343.513
19048,3.282,305216.667,1999783.333,5342.821
19049,3.397,305283.333,1999783.333,5342.483
19175,3.628,305416.667,1999783.333,5341.812
19176,3.74,305483.333,1999783.333,5341.476
19293,3.961,305616.667,1999783.333,5340.81
19294,4.065,305683.333,1999783.333,5340.474
19410,4.257,305816.667,1999783.333,5339.759
19411,4.338,305883.333,1999783.333,5339.32
19516,4.481,306016.667,1999783.333,5338.35
19517,4.548,306083.333,1999783.333,5337.859
19613,4.683,306216.667,1999783.333,5336.874
19614,4.782,306283.333,1999783.333,5336.533
19702,4.989,306416.667,1999783.333,5335.755
